;;---------- ВОЖДЕНИЕ АВТО ----------
Значение;Дата;Название
"⁦‎01:‎00⁩ - ⁦‎10:‎30⁩";"8 июл. 2021 г.";""
"⁦‎00:‎00⁩ - ⁦‎08:‎30⁩";"7 июл. 2021 г.";""
"⁦‎00:‎30⁩ - ⁦‎09:‎22⁩";"6 июл. 2021 г.";""
"⁦‎01:‎00⁩ - ⁦‎09:‎00⁩";"5 июл. 2021 г.";""
"⁦‎01:‎00⁩ - ⁦‎11:‎00⁩";"4 июл. 2021 г.";""
"⁦‎00:‎30⁩ - ⁦‎08:‎30⁩";"2 июл. 2021 г.";""
"⁦‎00:‎30⁩ - ⁦‎08:‎30⁩";"1 июл. 2021 г.";""
"⁦‎01:‎03⁩ - ⁦‎08:‎13⁩";"30 июн. 2021 г.";""
"⁦‎02:‎02⁩ - ⁦‎09:‎03⁩";"29 июн. 2021 г.";""
"⁦‎00:‎00⁩ - ⁦‎08:‎00⁩";"28 июн. 2021 г.";""
"⁦‎01:‎00⁩ - ⁦‎09:‎00⁩";"25 июн. 2021 г.";""
"⁦‎00:‎45⁩ - ⁦‎09:‎20⁩";"23 июн. 2021 г.";""
"⁦‎14:‎57⁩ - ⁦‎15:‎45⁩";"21 июн. 2021 г.";""
"⁦‎01:‎33⁩ - ⁦‎08:‎24⁩";"21 июн. 2021 г.";""
"⁦‎02:‎30⁩ - ⁦‎11:‎20⁩";"20 июн. 2021 г.";""
"⁦‎01:‎41⁩ - ⁦‎10:‎42⁩";"19 июн. 2021 г.";""
"⁦‎09:‎51⁩ - ⁦‎10:‎56⁩";"18 июн. 2021 г.";""
"⁦‎00:‎54⁩ - ⁦‎09:‎30⁩";"18 июн. 2021 г.";""
"‪⁨‎3с⁩‬‬‎, к ⁦‎18:‎51⁩";"17 июн. 2021 г.";""
"⁦‎02:‎07⁩ - ⁦‎10:‎24⁩";"17 июн. 2021 г.";""
"⁦‎02:‎00⁩ - ⁦‎10:‎00⁩";"16 июн. 2021 г.";""
"⁦‎01:‎03⁩ - ⁦‎10:‎17⁩";"15 июн. 2021 г.";""
"⁦‎01:‎30⁩ - ⁦‎01:‎34⁩";"15 июн. 2021 г.";""
"⁦‎02:‎00⁩ - ⁦‎11:‎00⁩";"14 июн. 2021 г.";""
"⁦‎02:‎11⁩ - ⁦‎10:‎12⁩";"13 июн. 2021 г.";""
"⁦‎00:‎49⁩ - ⁦‎10:‎07⁩";"12 июн. 2021 г.";""
;;---------- Путешествия и отдых ----------
Значение;Дата;Название
"⁦‎12:‎30⁩ - ⁦‎12:‎31⁩";"16 июн. 2021 г.";"Бородача"
;;---------- Прогулки ----------
Значение;Дата;Название
"⁦‎13:‎31⁩ - ⁦‎15:‎39⁩";"17 июл. 2021 г.";""
"⁦‎12:‎30⁩ - ⁦‎13:‎31⁩";"17 июл. 2021 г.";""
"⁦‎07:‎00⁩ - ⁦‎09:‎00⁩";"17 июл. 2021 г.";""
;;---------- Море плавание ----------
Значение;Дата;Название
"⁦‎10:‎00⁩ - ⁦‎11:‎15⁩";"17 июл. 2021 г.";""
;;---------- Трансферы на отдыхе ----------
Значение;Дата;Название
"⁦‎01:‎00⁩ - ⁦‎06:‎30⁩";"17 июл. 2021 г.";"Авиа и автобус "
;;---------- Сборы/разборы вещей ----------
Значение;Дата;Название
"⁦‎19:‎00⁩ - ⁦‎21:‎30⁩";"16 июл. 2021 г.";""
;;---------- Поиск вариантов по отдыху ----------
Значение;Дата;Название
"⁦‎16:‎30⁩ - ⁦‎16:‎50⁩";"8 июл. 2021 г.";""
"⁦‎11:‎30⁩ - ⁦‎12:‎10⁩";"8 июл. 2021 г.";""
;;---------- Досуг ----------
Значение;Дата;Название
"⁦‎19:‎03⁩ - ⁦‎20:‎56⁩";"30 июн. 2021 г.";""
"⁦‎12:‎30⁩ - ⁦‎14:‎29⁩";"20 июн. 2021 г.";"Чилим"
"⁦‎14:‎37⁩ - ⁦‎16:‎06⁩";"19 июн. 2021 г.";""
;;---------- Тусовки ----------
Значение;Дата;Название
"⁦‎19:‎22⁩ - ⁦‎19:‎45⁩";"1 июл. 2021 г.";""
;;---------- Просмотр ТВ ----------
Значение;Дата;Название
"⁦‎14:‎53⁩ - ⁦‎15:‎50⁩";"30 июн. 2021 г.";""
"⁦‎12:‎00⁩ - ⁦‎14:‎53⁩";"30 июн. 2021 г.";"Конф Путина"
"⁦‎00:‎12⁩ - ⁦‎00:‎45⁩";"23 июн. 2021 г.";""
"‪⁨‎1ч⁩‬‬‎, к ⁦‎00:‎54⁩";"18 июн. 2021 г.";""
"⁦‎22:‎20⁩ - ⁦‎22:‎41⁩";"17 июн. 2021 г.";""
"⁦‎00:‎34⁩ - ⁦‎01:‎00⁩";"17 июн. 2021 г.";""
"⁦‎22:‎00⁩ - ⁦‎22:‎58⁩";"16 июн. 2021 г.";""
"⁦‎22:‎00⁩ - ⁦‎00:‎10⁩";"⁦15⁩ - ⁦16 июн. 2021⁩";""
"⁦‎23:‎30⁩ - ⁦‎23:‎51⁩";"15 июн. 2021 г.";""
"⁦‎00:‎00⁩ - ⁦‎00:‎38⁩";"15 июн. 2021 г.";"Фильм"
"⁦‎01:‎17⁩ - ⁦‎02:‎11⁩";"13 июн. 2021 г.";""
;;---------- ЗДОРОВЬЕ И СПОРТ ----------
Значение;Дата;Название
"⁦‎19:‎00⁩ - ⁦‎19:‎30⁩";"2 авг. 2021 г.";"Балансборд "
"⁦‎22:‎17⁩ - ⁦‎22:‎54⁩";"8 июл. 2021 г.";""
"⁦‎21:‎44⁩ - ⁦‎21:‎52⁩";"8 июл. 2021 г.";""
"⁦‎20:‎00⁩ - ⁦‎20:‎30⁩";"4 июл. 2021 г.";"Электробайк"
"⁦‎15:‎24⁩ - ⁦‎17:‎19⁩";"4 июл. 2021 г.";""
"⁦‎21:‎00⁩ - ⁦‎21:‎30⁩";"29 июн. 2021 г.";"Самокат "
"⁦‎14:‎29⁩ - ⁦‎15:‎30⁩";"20 июн. 2021 г.";"Бадминтон "
"⁦‎14:‎00⁩ - ⁦‎15:‎20⁩";"16 июн. 2021 г.";""
"⁦‎14:‎31⁩ - ⁦‎16:‎13⁩";"15 июн. 2021 г.";""
;;---------- Велосипед ----------
Значение;Дата;Название
"⁦‎19:‎00⁩ - ⁦‎20:‎30⁩";"7 июл. 2021 г.";""
"⁦‎20:‎30⁩ - ⁦‎22:‎50⁩";"6 июл. 2021 г.";""
"⁦‎20:‎30⁩ - ⁦‎20:‎43⁩";"6 июл. 2021 г.";""
"⁦‎16:‎00⁩ - ⁦‎17:‎00⁩";"5 июл. 2021 г.";""
"⁦‎18:‎20⁩ - ⁦‎19:‎34⁩";"2 июл. 2021 г.";""
"⁦‎19:‎27⁩ - ⁦‎20:‎55⁩";"30 июн. 2021 г.";""
"⁦‎18:‎30⁩ - ⁦‎19:‎30⁩";"28 июн. 2021 г.";""
"⁦‎12:‎08⁩ - ⁦‎14:‎08⁩";"24 июн. 2021 г.";""
"⁦‎18:‎20⁩ - ⁦‎20:‎21⁩";"21 июн. 2021 г.";""
"⁦‎16:‎07⁩ - ⁦‎17:‎06⁩";"19 июн. 2021 г.";""
"⁦‎13:‎00⁩ - ⁦‎13:‎56⁩";"19 июн. 2021 г.";""
"⁦‎19:‎34⁩ - ⁦‎19:‎46⁩";"18 июн. 2021 г.";""
"⁦‎18:‎17⁩ - ⁦‎18:‎29⁩";"18 июн. 2021 г.";""
"⁦‎17:‎06⁩ - ⁦‎18:‎01⁩";"18 июн. 2021 г.";""
"⁦‎16:‎39⁩ - ⁦‎17:‎06⁩";"17 июн. 2021 г.";""
"⁦‎16:‎08⁩ - ⁦‎16:‎20⁩";"17 июн. 2021 г.";""
"⁦‎15:‎28⁩ - ⁦‎15:‎50⁩";"17 июн. 2021 г.";""
